"COU","Country","SOURCE","Source","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","1990","1990",,,"0","Units",,,1,,
"NLD","Netherlands","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","2005","2005",,,"0","Units",,,0.78,,
"NLD","Netherlands","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","2010","2010",,,"0","Units",,,5.34,,
"NLD","Netherlands","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","2011","2011",,,"0","Units",,,5.34,,
"NLD","Netherlands","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","2012","2012",,,"0","Units",,,4.96,,
"NLD","Netherlands","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","2013","2013",,,"0","Units",,,4.77,,
"NLD","Netherlands","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","2014","2014",,,"0","Units",,,4.02,,
"NLD","Netherlands","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","2015","2015",,,"0","Units",,,3.97,,
"NLD","Netherlands","GROUND","Fresh ground water","ELEC_COOL","Production of electricity (cooling only)","2016","2016",,,"0","Units",,,3.74,,
"BEL","Belgium","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1995","1995",,,"0","Units",,,5460.3,,
"BEL","Belgium","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2000","2000",,,"0","Units",,,5096.1,,
"BEL","Belgium","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2005","2005",,,"0","Units",,,4164.8,,
"BEL","Belgium","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2010","2010",,,"0","Units",,,3882.84,,
"BEL","Belgium","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2011","2011",,,"0","Units",,,3302.43,,
"BEL","Belgium","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2012","2012",,,"0","Units",,,3308.51,,
"BEL","Belgium","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2013","2013",,,"0","Units",,,2736.89,,
"BEL","Belgium","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2014","2014",,,"0","Units",,,2584.64,,
"BEL","Belgium","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2015","2015",,,"0","Units",,,2093.08,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1970","1970",,,"0","Units",,,4021.9,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1980","1980",,,"0","Units",,,7157.7,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1990","1990",,,"0","Units",,,7272.7,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1995","1995",,,"0","Units",,,6888.3,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2000","2000",,,"0","Units",,,6614.4,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2005","2005",,,"0","Units",,,6693.3,,
